,filename,label,features
0,ID_7e11ea124,[0.00020746 0.00373934 0.00197244 0.00233029 0.00427516 0.00545384],"[2.9390221e-04 4.2863716e-03 3.4596175e-03 ... 1.1863515e+00 1.3341212e+00
 1.8166137e+00]"
1,ID_fd64b3539,[0.00292821 0.04247459 0.02156345 0.06354231 0.04159046 0.18018763],"[2.5145616e-04 5.3334371e-03 2.6840400e-03 ... 1.4462221e+00 5.1105630e-01
 2.7063735e+00]"
2,ID_7f15b0c37,[0.00109064 0.01360587 0.00742471 0.02432287 0.00970339 0.04212256],"[1.9633518e-04 4.8430236e-03 3.0862186e-03 ... 2.1369631e+00 6.4093983e-01
 1.4479198e+00]"
3,ID_60820ff67,[0.00164427 0.0210671  0.01357104 0.04217225 0.01972625 0.04736114],"[2.1465041e-04 4.4944342e-03 3.2174161e-03 ... 1.4339530e+00 8.2013345e-01
 1.3449360e+00]"
4,ID_b2ba0706d,[0.00105881 0.01112828 0.00520927 0.01622396 0.01124161 0.01632143],"[2.0595620e-04 6.1032204e-03 2.6689018e-03 ... 1.3183215e+00 1.4064157e+00
 9.0583169e-01]"
5,ID_151042bf9,[0.00306199 0.0336774  0.02481418 0.05274278 0.02468883 0.07042924],"[2.2458697e-04 5.1342482e-03 3.0485559e-03 ... 1.5573592e+00 4.4984701e-01
 8.2600713e-01]"
6,ID_9fe6fc652,[0.00056258 0.00886943 0.00773213 0.01227316 0.00541212 0.0115517 ],"[2.7068297e-04 5.5069108e-03 3.2146606e-03 ... 1.0489995e+00 6.6442245e-01
 6.3548589e-01]"
7,ID_d0a707a35,[0.00026259 0.00426047 0.00731942 0.00635795 0.00209505 0.00631826],"[2.4367456e-04 6.0592261e-03 2.9807528e-03 ... 2.5161536e+00 9.3354166e-01
 3.8995868e-01]"
8,ID_9a4b7174e,[0.00036856 0.00286884 0.00533766 0.00696061 0.00189175 0.00890224],"[2.0446317e-04 4.5172563e-03 2.6698995e-03 ... 1.9725890e+00 5.8546054e-01
 7.8576124e-01]"
9,ID_976b4d8bd,[0.0006422  0.00672485 0.00896258 0.01725231 0.00411893 0.02859921],"[1.7860293e-04 3.8658199e-03 2.7247625e-03 ... 2.8481522e+00 8.3713078e-01
 1.3832617e+00]"
10,ID_4b339015d,[0.00061847 0.00880572 0.005656   0.0120272  0.00405104 0.0155397 ],"[2.0521412e-04 3.5928164e-03 2.1553426e-03 ... 2.4856598e+00 2.2006297e-01
 4.6597210e-01]"
